word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"funny","adjective","causing laughter or amusement","웃음이나 재미를 유발하는",2,"strange or odd in a way that causes concern","우려를 불러일으키는 방식으로 이상하거나 기이한","Text Structure and Purpose","Easy",1
"garden","noun","a plot of ground where plants are cultivated","식물이 재배되는 땅의 구역",2,"a place for the display and cultivation of plants, often for educational purposes","식물의 전시 및 재배를 위한 장소, 종종 교육적 목적을 위해","Boundaries","Hard",1
"gather","verb","to bring together","모으다",2,"to come together","모이다","Text Structure and Purpose","Medium",1
"gaze","verb","to look steadily and intently","응시하다",2,"to look at something with a specific purpose or intention","특정한 목적이나 의도를 가지고 바라보다","Command of Evidence","Hard",1
"germinate","verb","to begin to grow or develop","자라기 시작하다",2,"to come into being; to develop","존재하게 되다; 발전하다","Text Structure and Purpose","Hard",1
"gesture","noun","a movement of the body to express or help express an idea or feeling","아이디어나 감정을 표현하거나 표현하는 데 도움이 되는 신체의 움직임",2,"a deliberate action or expression that conveys a specific meaning or intention","특정한 의미나 의도를 전달하는 의도적인 행동이나 표현","Inferences | Rhetorical Synthesis","Hard | Medium",2
"get","verb","to come into possession of","소유하게 되다",2,"to achieve or attain (as in a state or condition)","(상태나 조건을) 달성하다 또는 얻다","Command of Evidence","Hard",1
"glared","verb","to stare in an angry or fierce way","화난 또는 사나운 방식으로 노려보다",2,"to be very conspicuous or obvious","매우 눈에 띄거나 분명하다","Text Structure and Purpose","Easy",1
"glean","verb","to gather grain left by reapers","수확한 곡식을 모으다",2,"to collect information or material bit by bit","정보나 자료를 조금씩 모으다","Form, Structure, and Sense","Hard",1
"gloomy","adjective","filled with or showing gloom","우울한 또는 우울함을 나타내는",2,"causing or expressing sadness or depression","슬픔이나 우울을 유발하거나 표현하는","Text Structure and Purpose","Medium",1
"good","adjective","of a favorable character or tendency","유리한 성격이나 경향의",2,"morally excellent; virtuous","도덕적으로 우수한; 미덕이 있는","Inferences","Hard",1
"great","adjective","of large size","큰 크기의",2,"remarkable or outstanding","주목할 만한 또는 뛰어난","Text Structure and Purpose","Easy",1
"group","noun","a number of people or things that are located, gathered, or classed together","함께 모여 있거나 분류된 사람이나 사물의 수",2,"a category of organisms that share common characteristics","공통 특성을 공유하는 유기체의 범주","Words in Context","Hard",1
"guarantee","verb","to promise or ensure something will happen","무엇인가가 발생할 것이라고 약속하다 또는 보장하다",2,"to provide a formal assurance or security","정식 보증이나 담보를 제공하다","Form, Structure, and Sense","Easy",1
"hand","noun","the end part of a person's arm","사람의 팔 끝 부분",2,"a part of a device that is used to operate it","장치를 작동하는 데 사용되는 장치의 일부","Form, Structure, and Sense","Easy",1
"handling","noun","the act of touching, holding, or controlling something","무언가를 만지거나, 잡거나, 조종하는 행위",2,"the way in which something is managed or dealt with","무언가를 관리하거나 처리하는 방식","Rhetorical Synthesis","Medium",1
"handshake","noun","a greeting or agreement made by clasping hands","손을 잡고 인사하거나 합의하는 것",2,"the act of shaking hands, especially as a form of greeting or agreement","인사나 합의의 형태로 손을 흔드는 행위","Inferences","Easy",1
"hark","verb","to listen attentively","주의 깊게 듣다",2,"to give heed or attention","주의를 기울이다","Boundaries","Hard",1
"harness","verb","to put a harness on (a horse)","말에 마구를 채우다",2,"to utilize or make use of","활용하다 또는 이용하다","Form, Structure, and Sense","Medium",1
"he","pronoun","used to refer to a man, boy, or male animal previously mentioned or easily identified","이전에 언급되었거나 쉽게 식별할 수 있는 남자, 소년 또는 수컷 동물을 지칭하는 데 사용됨",2,"used to introduce a clause or statement about someone","누군가에 대한 절이나 진술을 소개하는 데 사용됨","Transitions","Easy",1
"help","verb","to give assistance or support to","도움이나 지원을 주다",2,"to make easier or facilitate","더 쉽게 하거나 촉진하다","Inferences | Boundaries","Medium",2
"hierarchical","adjective","of or relating to a hierarchy","계층 구조의",2,"arranged in order of rank or authority","계급이나 권위의 순서로 배열된","Cross-Text Connections","Hard",1
"hinder","verb","to make (something) difficult to do","(무언가를 하는 것을) 어렵게 만들다",2,"to hold back or impede progress","진전을 방해하다","Words in Context","Medium",1
"hindered","verb","to make (something) difficult","(무엇)을 어렵게 하다",2,"to hold back or impede progress","진전을 방해하다","Central Ideas and Details","Hard",1
"historians","noun","a person who studies or writes about history","역사를 연구하거나 쓰는 사람",2,"a person who interprets or analyzes historical events","역사적 사건을 해석하거나 분석하는 사람","Form, Structure, and Sense","Easy",1
"honor","verb","to regard or treat (someone) with admiration and respect","존경과 존중으로 (누군가)를 대하다",2,"to give recognition to (an achievement)","(업적)에 대한 인정을 주다","Form, Structure, and Sense","Easy | Hard",2
"how","adverb","to what degree or extent","어느 정도 또는 범위",2,"in what manner or way","어떤 방식으로","Boundaries","Easy",1
"however","adverb","in whatever way or manner","어떤 방식으로든",2,"used to introduce a statement that contrasts with or seems to contradict something that has been said previously","이전에 언급된 것과 대조되거나 모순되는 진술을 도입하는 데 사용됨","Transitions","Easy | Medium",2
"hull","noun","the main body of a ship or boat","배 또는 보트의 본체",2,"the outer covering or structure of a vessel","선박의 외부 덮개 또는 구조","Rhetorical Synthesis","Hard",1
"humble","adjective","having or showing a modest or low estimate of one's own importance","자신의 중요성을 겸손하게 또는 낮게 평가하는",2,"not proud or arrogant; modest","자랑하지 않거나 오만하지 않은; 겸손한","Central Ideas and Details","Medium",1
"hurry","verb","to move or act with speed","빠르게 움직이거나 행동하다",2,"to cause to act or move more quickly","더 빨리 행동하거나 움직이게 하다","Central Ideas and Details","Hard",1
"hypothesize","verb","to form a hypothesis","가설을 세우다",2,"to make an educated guess or inference based on available information","사용 가능한 정보를 바탕으로 교육받은 추측이나 추론을 하다","Inferences","Easy",1
"idea","noun","a thought or suggestion as to a possible course of action","가능한 행동 방침에 대한 생각이나 제안",2,"a concept or notion that may not be based on fact","사실에 근거하지 않을 수 있는 개념 또는 관념","Inferences","Medium",1
"ideal","adjective","satisfying one's conception of what is perfect; most suitable","완벽하다고 생각되는 것; 가장 적합한",2,"existing as a standard or model; representing a perfect example","기준이나 모델로 존재하는; 완벽한 예를 나타내는","Form, Structure, and Sense","Easy",1
"identified","verb","to recognize or establish as being a particular person or thing","특정한 사람이나 사물로 인식하거나 확립하다",2,"to discover or determine the existence of something","무언가의 존재를 발견하거나 결정하다","Words in Context","Hard",1
"image","noun","a visual representation of something","무언가의 시각적 표현",2,"a mental representation or concept","정신적 표현 또는 개념","Text Structure and Purpose","Medium",1
"imbibe","verb","to drink (a liquid)","액체를 마시다",2,"to take in or absorb (as knowledge or ideas)","(지식이나 아이디어를) 흡수하다","Words in Context","Medium",1
"immense","adjective","marked by greatness especially in size or degree","특히 크기나 정도에서의 위대함으로 표시됨",3,"extremely large or great","매우 크거나 위대한","Central Ideas and Details","Hard",1
"immigrant","noun","a person who comes to a country to live there","다른 나라에 살기 위해 오는 사람",2,"a person who comes to a country to settle permanently","영구적으로 정착하기 위해 다른 나라에 오는 사람","Form, Structure, and Sense","Easy",1
"impact","noun","the force of one thing striking another","한 물체가 다른 물체에 부딪히는 힘",2,"a strong effect or influence","강한 효과 또는 영향","Command of Evidence","Medium",1
"implies","verb","to indicate or suggest without being explicitly stated","명시적으로 진술되지 않고 나타내거나 제안하다",2,"to suggest or express indirectly","간접적으로 제안하거나 표현하다","Inferences","Hard",1
"importance","noun","the quality of being important","중요한 특성",2,"significance or value in a particular context","특정 맥락에서의 중요성 또는 가치","Form, Structure, and Sense | Command of Evidence","Hard | Medium",2
"important","adjective","having serious meaning or worth","중요한 의미나 가치가 있는",2,"having significant influence or effect","중요한 영향이나 효과가 있는","Words in Context","Hard",1
"impose","verb","to force something to be accepted or put in place","무언가를 받아들이거나 시행하도록 강요하다",2,"to establish or apply as a burden or duty","부담이나 의무로서 설정하거나 적용하다","Cross-Text Connections","Easy",1
"impress","noun","a mark or stamp made by pressure","압력에 의해 만들어진 자국 또는 도장",2,"the effect or influence that something has","무언가가 미치는 영향이나 효과","Command of Evidence","Hard",1
"improved","verb","to make (something) better","(무언가를) 더 좋게 만들다",2,"to enhance the quality or value of something","무언가의 품질이나 가치를 향상시키다","Rhetorical Synthesis","Easy",1
"imputed","verb","to lay the responsibility or blame for (something) often falsely or unjustly","(무엇에 대한) 책임을 전가하다, (부당하게) 비난하다",2,"to attribute or ascribe (something) to a cause or source","(무엇을) 원인이나 출처에 귀속시키다","Cross-Text Connections","Hard",1
"in","preposition","used to indicate inclusion within space, a place, or limits","공간, 장소 또는 한계 내의 포함을 나타내는 데 사용됨",2,"used to indicate a specific time or event","특정 시간이나 사건을 나타내는 데 사용됨","Transitions","Easy",2
"include","verb","to contain as part of a whole","전체의 일부로 포함하다",2,"to have as a part or member","일부 또는 구성원으로 가지다","Form, Structure, and Sense","Easy",1
"incorporate","verb","to unite or work into something already existent","이미 존재하는 것에 통합하거나 작업하다",2,"to include as part of a whole","전체의 일부로 포함하다","Transitions | Command of Evidence","Easy | Medium",2
"incorporated","verb","to unite or work into something already existent","이미 존재하는 것에 통합하다",3,"to include as part of a whole","전체의 일부로 포함하다","Cross-Text Connections","Easy",1
"indication","noun","a sign or piece of information that indicates something","무언가를 나타내는 신호 또는 정보의 조각",2,"a suggestion or hint about something","무언가에 대한 제안 또는 힌트","Inferences","Medium",1
"indifferently","adverb","having no interest or concern; apathetic","관심이나 걱정이 없는; 무관심한",2,"in a manner that shows a lack of interest or concern","관심이나 걱정이 없는 방식으로","Central Ideas and Details","Easy",1
"infer","verb","to derive as a conclusion from facts or premises","사실이나 전제로부터 결론을 도출하다",2,"to guess or speculate about something based on limited information","제한된 정보에 근거하여 무언가를 추측하거나 추론하다","Words in Context | Text Structure and Purpose","Medium | Hard",2
"influence","noun","the power to change or affect someone or something","누군가 또는 무언가를 변화시키거나 영향을 미치는 힘",2,"the capacity to have an effect on the character, development, or behavior of someone or something","누군가 또는 무언가의 성격, 발전 또는 행동에 영향을 미칠 수 있는 능력","Words in Context | Command of Evidence | Boundaries | Rhetorical Synthesis","Medium | Easy | Hard",5
"influential","adjective","having a lot of influence on someone or something","누군가 또는 무언가에 많은 영향을 미치는",2,"having the power to cause changes or affect outcomes","변화를 일으키거나 결과에 영향을 미칠 수 있는","Central Ideas and Details","Medium",1
"infrastructure","noun","the basic physical and organizational structures and facilities needed for the operation of a society or enterprise","사회의 운영에 필요한 기본적인 물리적 및 조직적 구조와 시설",2,"the underlying foundation or basic framework of a system","시스템의 기본적인 기초 또는 기본 구조","Boundaries","Medium",1
"innocuous","adjective","not harmful or offensive","해롭거나 불쾌하지 않은",2,"producing no injury or harm; harmless","부상이나 해를 일으키지 않는; 무해한","Text Structure and Purpose","Medium",1
"innovative","adjective","introducing or using new ideas or methods","새로운 아이디어나 방법을 도입하거나 사용하는",2,"characterized by the introduction of new ideas or methods","새로운 아이디어나 방법의 도입으로 특징지어짐","Boundaries","Easy",1
"inspire","verb","to fill with an animating, quickening, or exalting influence","영감을 주다",2,"to cause someone to do something","누군가가 무언가를 하도록 유도하다","Words in Context | Transitions","Hard | Medium",2
"inspired","verb","to fill with an animating, quickening, or exalting influence","영감을 주다",2,"to draw upon as a source of creativity or influence","창의성이나 영향을 주는 원천으로 삼다","Boundaries","Easy",1
"instrumental","adjective","serving as a means or instrument","수단이나 도구로서의 역할을 하는",2,"having a significant role or effect","중요한 역할이나 영향을 미치는","Transitions | Text Structure and Purpose | Boundaries","Easy | Medium",3
"intense","adjective","existing or occurring in a high or extreme degree","높거나 극단적인 정도로 존재하거나 발생하는",2,"having a strong effect or being very noticeable","강한 영향을 미치거나 매우 눈에 띄는","Boundaries","Hard",1
"intensify","verb","to make more intense or stronger","더 강렬하게 만들다",2,"to increase in degree or strength","정도나 강도를 증가시키다","Central Ideas and Details","Medium",1
"interest","noun","the feeling of wanting to know or learn about something or someone","무언가 또는 누군가에 대해 알고 싶거나 배우고 싶어하는 감정",2,"a sense of concern or involvement","관심이나 참여의 감각","Text Structure and Purpose","Easy",1
"interpretation","noun","the act of explaining the meaning of something","무언가의 의미를 설명하는 행위",2,"a way of explaining or understanding something, often subjective","무언가를 설명하거나 이해하는 방법, 종종 주관적이다","Cross-Text Connections","Easy",1
"interrogate","verb","to ask questions of (someone) closely, aggressively, or formally","(누구에게) 면밀히, 공격적으로, 또는 공식적으로 질문하다",2,"to examine or inquire into (something) thoroughly","(무언가를) 철저히 조사하거나 문의하다","Form, Structure, and Sense","Hard",1
"intersect","verb","to meet or cross at a point","한 점에서 만나다 또는 교차하다",2,"to have elements in common","공통 요소를 가지다","Words in Context","Hard",1
"intimacy","noun","close familiarity or friendship; closeness","친밀한 친분이나 우정; 가까움",2,"a private or secretive relationship","사적이거나 비밀스러운 관계","Text Structure and Purpose","Hard",1
"intricate","adjective","having many complexly arranged elements; elaborate","복잡하게 배열된 요소가 많은; 정교한",2,"having many interrelated parts; complex","많은 상호 관련된 부분이 있는; 복잡한","Words in Context | Central Ideas and Details","Medium | Hard",2
"intriguing","adjective","arousing one's curiosity or interest; fascinating","호기심이나 관심을 불러일으키는; 매혹적인",2,"having a quality that attracts attention or interest","관심이나 주목을 끄는 특성","Words in Context","Hard",1
"invalid","adjective","not valid","유효하지 않은",2,"not comprehensible","이해할 수 없는","Command of Evidence","Medium",1
"invalidate","verb","to make invalid","무효로 하다",2,"to nullify or make ineffective","무효화하다","Words in Context","Medium",1
"invent","verb","to create or produce (something useful) for the first time","처음으로 (유용한 것을) 만들거나 생산하다",2,"to devise or contrive (a method or tool)","(방법이나 도구를) 고안하거나 구상하다","Words in Context","Hard",1
"invention","noun","the act of creating something for the first time","무언가를 처음으로 만드는 행위",2,"a device, contrivance, or process originated after study and experimentation","연구와 실험 후에 만들어진 장치, 기구 또는 과정","Form, Structure, and Sense","Medium",1
"inviting","adjective","having a pleasant or appealing quality","즐거운 또는 매력적인 특성을 가진",2,"encouraging or tempting someone to do something","누군가가 무언가를 하도록 유도하거나 유혹하는","Form, Structure, and Sense","Hard",1
"is","verb","3rd person singular present of be","be의 3인칭 단수 현재형",2,"used to indicate existence or identity","존재 또는 정체성을 나타내는 데 사용","Transitions","Easy",1
"isolate","verb","to set apart or cut off from others","다른 것과 분리하거나 차단하다",2,"to cause to be alone or apart","혼자 또는 따로 있게 하다","Text Structure and Purpose","Hard",1
"it","pronoun","used to refer to a thing previously mentioned or easily identified","앞서 언급되었거나 쉽게 식별할 수 있는 것을 지칭하는 데 사용됨",2,"used to introduce a clause or statement","절이나 진술을 도입하는 데 사용됨","Transitions","Easy",1
"joined","verb","to become a member of or participate in","회원이 되다 또는 참여하다",2,"to come together or meet","함께 오다 또는 만나다","Form, Structure, and Sense","Hard",1
"joke","noun","a humorous anecdote or remark","유머러스한 일화 또는 발언",2,"something said or done to provoke laughter or amusement, often not taken seriously","웃음이나 즐거움을 유발하기 위해 말하거나 행한 것, 종종 진지하게 받아들여지지 않음","Cross-Text Connections","Hard",1
"journey","verb","to travel from one place to another","한 장소에서 다른 장소로 여행하다",2,"to make a long trip or migration","긴 여행이나 이주를 하다","Form, Structure, and Sense","Easy",1
"judge","verb","to form an opinion about through careful weighing of evidence and testing of premises","증거와 전제를 신중하게 따져서 의견을 형성하다",2,"to determine or assess the position or situation of something","무언가의 위치나 상황을 결정하거나 평가하다","Central Ideas and Details","Medium",1
"keeper","noun","one that keeps","보관하는 사람",2,"a person who has charge of something","무언가를 책임지는 사람","Central Ideas and Details","Medium",1
"kept","verb","to have or maintain possession of","소유하다 또는 유지하다",2,"to record or measure (time)","(시간을) 기록하거나 측정하다","Boundaries","Medium",1
"knowledge","noun","the fact or condition of being aware of something","무언가를 알고 있는 사실 또는 상태",2,"the range of one's information or understanding","정보나 이해의 범위","Inferences","Hard",1
"lacked","verb","to be without","없다",2,"to fail to have or experience something","무언가를 가지지 않거나 경험하지 못하다","Words in Context","Hard",1
"laid","verb","to put down in a flat position","평평한 위치에 놓다",2,"to produce (an egg)","(알을) 낳다","Inferences","Medium",1
"languish","verb","to become weak","약해지다",2,"to suffer from being forced to remain in an unpleasant situation","불쾌한 상황에 강제로 남겨져 고통받다","Central Ideas and Details","Medium",1
"large","adjective","of considerable or relatively great size, height, weight, number, power, or capacity","상당한 또는 상대적으로 큰 크기, 높이, 무게, 수, 힘 또는 용량의",3,"great in quantity or degree","양이나 정도가 큰","Command of Evidence","Easy",1
"layer","verb","to arrange in layers","층으로 배열하다",2,"to place one thing over another","한 가지를 다른 것 위에 놓다","Words in Context","Medium",1
"leach","verb","to remove (a soluble substance) from a material by the action of a liquid passing through it","액체가 통과하면서 물질에서 (용해 가능한 물질을) 제거하다",2,"to cause (a substance) to be washed out or removed from something","(물질이) 어떤 것에서 씻겨 나가거나 제거되도록 하다","Cross-Text Connections","Hard",1
"lead","verb","to guide on a way especially by going in advance","특히 앞서서 길을 안내하다",2,"to direct or conduct (a group) in a particular manner","특정 방식으로 (그룹)을 지휘하거나 이끌다","Text Structure and Purpose","Medium",1
"leap","verb","to spring or jump from a surface","표면에서 튀어 오르다",3,"to move quickly or suddenly","빠르거나 갑자기 움직이다","Text Structure and Purpose","Medium",1
"learn","verb","to gain knowledge or skill by studying, practicing, being taught, or experiencing something","무언가를 공부하거나 연습하거나 가르침을 받거나 경험함으로써 지식이나 기술을 얻다",2,"to come to know or understand something","무언가를 알게 되거나 이해하게 되다","Form, Structure, and Sense","Easy",1
"leave","verb","to allow to remain","남겨두다",2,"to cause to be in a specified state or condition","특정 상태나 조건에 두다","Words in Context | Form, Structure, and Sense","Medium | Easy",2
"left","verb","to allow to remain","남겨두다",2,"to depart from a place","장소를 떠나다","Boundaries","Hard",1
"lend","verb","to give (something) to someone for a period of time","(무언가를) 누군가에게 일정 기간 동안 주다",2,"to provide or contribute (a quality or characteristic)","(특성이나 특질을) 제공하거나 기여하다","Form, Structure, and Sense","Medium",1
"less","adverb","to a smaller extent or degree","더 작은 정도로",2,"not as much","그만큼 많이 아님","Words in Context","Hard",1
"lift","verb","to raise to a higher position","더 높은 위치로 올리다",2,"to raise (as in weight)","(무게를) 들어올리다","Boundaries","Medium",1
"light","noun","something that makes things visible or affords illumination","사물을 보이게 하거나 조명을 제공하는 것",2,"the natural agent that stimulates sight and makes things visible","시각을 자극하고 사물을 보이게 하는 자연적인 요소","Boundaries | Cross-Text Connections | Text Structure and Purpose | Central Ideas and Details | Form, Structure, and Sense","Hard | Medium",6
"limited","adjective","restricted in size, amount, or extent","크기, 양 또는 범위가 제한된",2,"not fully representative or inclusive","완전히 대표적이거나 포괄적이지 않은","Words in Context | Cross-Text Connections | Form, Structure, and Sense","Medium | Easy | Hard",4
"line","verb","to form a line","선을 형성하다",2,"to cover or fill the inside surface of something","무언가의 내부 표면을 덮거나 채우다","Boundaries","Easy",1
"link","verb","to connect or join","연결하다",2,"to establish a relationship or connection","관계나 연결을 설정하다","Boundaries | Text Structure and Purpose","Easy | Medium",2
"listeners","noun","a person who listens","듣는 사람",2,"a person who pays attention to or is affected by something","무언가에 주의를 기울이거나 영향을 받는 사람","Transitions","Medium",1
"literature","noun","written works, especially those considered of superior or lasting artistic merit","특히 우수하거나 지속적인 예술적 가치를 지닌 문서",2,"the body of written works produced in a particular language, culture, or period","특정 언어, 문화 또는 시대에 생산된 문서의 집합","Cross-Text Connections","Medium",1
"live","verb","to remain alive","살아 있다",3,"to experience a particular kind of life","특정한 종류의 삶을 경험하다","Command of Evidence","Medium",1
"logical","adjective","of or relating to logic","논리의",2,"reasonable or sensible","합리적이거나 이치에 맞는","Form, Structure, and Sense","Medium",1
"lose","verb","to be deprived of; to cease to have","잃다; 가지지 않게 되다",2,"to part with or let go of something","무언가를 놓아주거나 포기하다","Transitions","Easy",1
"luxury","noun","a condition of great comfort or elegance","큰 편안함이나 우아함의 상태",2,"something that is not essential but is desirable","필수적이지 않지만 바람직한 것","Form, Structure, and Sense","Easy",1
"maintain","verb","to keep in an existing state or condition","존재하는 상태나 조건을 유지하다",2,"to continue or preserve a certain condition or state","특정한 상태나 조건을 계속하거나 보존하다","Transitions","Medium",1
"make","verb","to cause to exist or happen","존재하게 하거나 발생하게 하다",2,"to consider or regard in a specified way","특정한 방식으로 고려하거나 간주하다","Boundaries","Medium",1
"manage","verb","to handle or direct with a degree of skill","기술의 정도로 처리하거나 지휘하다",2,"to take charge of or oversee","책임을 지거나 감독하다","Transitions","Medium",1
"management","noun","the act or process of managing","관리하는 행위 또는 과정",3,"the judicious use of resources","자원의 신중한 사용","Text Structure and Purpose","Easy",1
"manifest","verb","to make evident or certain by showing","보여줌으로써 분명하게 하다",2,"to become apparent or visible","명백하거나 보이게 되다","Text Structure and Purpose","Hard",1
"many","adjective","a large number of","많은 수의",2,"a significant number of","상당한 수의","Transitions | Boundaries","Hard | Medium",2
"map","noun","a representation of an area","지역의 표현",2,"a mental representation or plan","정신적 표현 또는 계획","Text Structure and Purpose | Rhetorical Synthesis","Medium",2
"margin","noun","the edge or border of something","무언가의 가장자리 또는 경계",2,"the amount by which something is won or lost","무언가가 이기거나 지는 정도","Text Structure and Purpose","Medium",1
"mark","verb","to make a visible impression or stain on","눈에 띄는 자국이나 얼룩을 남기다",2,"to indicate or signify","나타내거나 의미하다","Central Ideas and Details","Medium",1
"may","verb","to be allowed to","~할 수 있다",2,"to express possibility","가능성을 표현하다","Transitions","Medium",1
"mean","verb","to have in the mind as a purpose","목적을 염두에 두다",2,"to signify or represent","의미하다","Transitions | Inferences | Central Ideas and Details | Command of Evidence","Easy | Hard | Medium",4
"means","noun","a method or way of doing something","무언가를 하는 방법 또는 방식",2,"a resource or financial support","자원 또는 재정적 지원","Inferences","Hard",1
"measure","verb","to ascertain the extent, quantity, or amount of something","무언가의 범위, 양 또는 양을 확인하다",2,"to represent or express the extent of something","무언가의 범위를 나타내거나 표현하다","Form, Structure, and Sense | Text Structure and Purpose | Command of Evidence","Easy | Hard | Medium",4
"medium","noun","a means of doing something","무언가를 하는 수단",2,"a material or form used by an artist","예술가가 사용하는 재료 또는 형태","Rhetorical Synthesis","Medium",1
"meticulous","adjective","marked by extreme or excessive care in the consideration or treatment of details","세부 사항에 대한 극단적이거나 과도한 주의로 특징지어짐",2,"marked by precise accordance with details","세부 사항과의 정확한 일치를 특징으로 함","Transitions","Medium",1
"mimic","verb","to imitate closely","밀접하게 모방하다",2,"to resemble or simulate","유사하거나 시뮬레이션하다","Rhetorical Synthesis","Medium",1
"mind","noun","the element of a person that enables them to be aware of the world and their experiences, to think, and to feel","사람이 세상과 자신의 경험을 인식하고, 생각하고, 느낄 수 있게 해주는 요소",2,"the faculty of consciousness and thought","의식과 사고의 능력","Boundaries","Medium",1
"minor","adjective","small in size, amount, or degree","크기, 양 또는 정도가 작은",2,"not important or significant","중요하지 않거나 의미가 없는","Form, Structure, and Sense","Easy",1
"mitigate","verb","to make less severe or painful","덜 심각하게 하다",2,"to lessen the intensity or severity of something","무언가의 강도나 심각성을 줄이다","Text Structure and Purpose","Easy",1
"mode","noun","a way or manner of doing something","무언가를 하는 방법이나 방식",2,"a particular form or style of literature or art","문학이나 예술의 특정한 형태나 스타일","Boundaries","Hard",1
"model","noun","a three-dimensional representation of a person or thing or of a proposed structure,","사람이나 사물 또는 제안된 구조의 3차원 표현",2,"a system or thing used as an example to follow or imitate","따르거나 모방하기 위해 사용되는 시스템 또는 사물","Inferences | Cross-Text Connections","Easy | Hard",2
"modeled","verb","to form a representation of","표현하다",2,"to create a simulation or representation for analysis","분석을 위한 시뮬레이션 또는 표현을 만들다","Command of Evidence","Hard",1
"modern","adjective","of or relating to the present time or the recent past","현재 또는 최근 과거와 관련된",2,"characterized by the use of the latest techniques or ideas","최신 기술이나 아이디어의 사용으로 특징지어짐","Boundaries","Easy",1
"momentary","adjective","lasting for a very short time","매우 짧은 시간 동안 지속되는",2,"temporary or fleeting","일시적이거나 덧없는","Words in Context","Hard",1
"monitoring","verb","to watch, observe, or check something over a period of time","어떤 것을 일정 기간 동안 지켜보거나 관찰하다",2,"to observe and check the progress or quality of something","무언가의 진행이나 품질을 관찰하고 확인하다","Boundaries","Hard",1
"motion","noun","the act or process of moving","움직이는 행위 또는 과정",2,"a change in position or location","위치나 장소의 변화","Boundaries | Form, Structure, and Sense","Easy",2
"musicians","noun","a person who plays a musical instrument or is musically talented","악기를 연주하거나 음악적 재능이 있는 사람",2,"a person who composes, conducts, or performs music","음악을 작곡, 지휘 또는 연주하는 사람","Form, Structure, and Sense","Easy",1
"mysterious","adjective","difficult or impossible to understand, explain, or identify","이해하거나 설명하거나 식별하기 어려운",2,"having an aura of secrecy or intrigue","비밀이나 매력의 분위기를 가진","Form, Structure, and Sense","Medium",1
"myth","noun","a traditional story, especially one concerning the early history of a people or explaining a natural or social phenomenon","전통적인 이야기, 특히 한 민족의 초기 역사와 관련되거나 자연적 또는 사회적 현상을 설명하는 이야기",2,"a widely held but false belief or idea","널리 퍼져 있지만 잘못된 믿음이나 아이디어","Transitions","Hard",1
"name","verb","to give a name to","이름을 붙이다",3,"to identify or specify","식별하거나 지정하다","Text Structure and Purpose","Medium",1
"natural","adjective","existing in or caused by nature; not made or caused by humankind","자연에서 존재하거나 인간에 의해 만들어지거나 원인된 것이 아닌",2,"having a spontaneous or unforced quality","자발적이거나 강요되지 않은 특성을 가진","Inferences","Easy",1
"need","verb","to require (something)","필요하다",2,"to be in a state of requiring something","무언가를 필요로 하는 상태에 있다","Form, Structure, and Sense","Easy",1
"nod","noun","a quick downward motion of the head","머리의 빠른 아래쪽 움직임",2,"a gesture of acknowledgment or approval","인정 또는 승인에 대한 제스처","Boundaries","Easy",1
"nonrecyclable","adjective","not able to be recycled","재활용할 수 없는",2,"not suitable for recycling","재활용에 적합하지 않은","Transitions","Medium",1
"notate","verb","to write down","기록하다",2,"to represent or record (as in numbers)","(숫자와 같은) 표현하거나 기록하다","Command of Evidence","Medium",1
"notoriously","adverb","famous or well-known, typically for some bad quality or deed","악명 높게",2,"in a way that is well-known or widely recognized","잘 알려진 방식으로","Boundaries","Hard",1
"now","adverb","at the present time","현재",2,"at this moment in time, indicating a change or new situation","현재 시점에서, 변화나 새로운 상황을 나타내는","Transitions","Easy",1
"nurse","verb","to feed or tend to (a baby or young animal)","아기나 어린 동물을 먹이거나 돌보다",3,"to care for or nurture (young)","(어린 것을) 돌보거나 양육하다","Form, Structure, and Sense","Hard",1
"oasis","noun","a fertile spot in a desert where water is found","물이 있는 사막의 비옥한 장소",2,"a place or situation that offers peace and happiness","평화와 행복을 제공하는 장소나 상황","Boundaries","Medium",1
"object","noun","a material thing that can be seen and touched","볼 수 있고 만질 수 있는 물질적 사물",2,"something that is a focus of attention or concern","관심이나 우려의 초점이 되는 것","Form, Structure, and Sense | Command of Evidence","Easy | Hard",2
"obscured","verb","to make (something) difficult to see","(무언가를) 보기 어렵게 만들다",3,"to make (something) difficult to understand or perceive","(무언가를) 이해하거나 인식하기 어렵게 만들다","Text Structure and Purpose","Hard",1
"obscurity","noun","the state of being unknown","알려지지 않은 상태",2,"the condition of being difficult to understand or unclear","이해하기 어렵거나 불분명한 상태","Central Ideas and Details","Medium",1
"observe","verb","to watch carefully","주의 깊게 보다",2,"to follow or adhere to (a tradition)","(전통을) 따르다 또는 준수하다","Words in Context","Medium",1
"observed","verb","to watch carefully","주의 깊게 관찰하다",3,"to make a remark or comment","발언하거나 언급하다","Text Structure and Purpose | Inferences","Hard",2
"occasion","noun","a favorable opportunity or circumstance","유리한 기회나 상황",2,"the reason or cause for something","무언가의 이유나 원인","Boundaries","Hard",1
"occupied","verb","to take or hold possession or control of","차지하다, 점유하다",2,"to reside or live in a place","어떤 장소에 거주하다","Boundaries","Medium",1
"occur","verb","to take place","발생하다",2,"to be found or to be present","존재하다 또는 발견되다","Text Structure and Purpose","Medium",1
